Date,Cases,Cases Moving Average,Cases Cumulative,Rate of Cases,Rate of Daily Cases,Deaths,Deaths Moving Average,Deaths Cumulative,Face_Masks_Required_in_Public_Color,Rate of Infection,Rate of Daily Infection
2020-09-07,254.0,132.0,34699.0,0.0007482243700418444,0.015837415832552375,4.0,2.0,1763.0,blue,0.008421939151489631,0.01620585260968459
2020-09-08,43.0,119.0,34742.0,-0.0008105764008786648,-0.013156278506569098,0.0,2.0,1763.0,blue,0.007592714057112523,0.002743585751729735
2020-09-09,0.0,85.0,34742.0,-0.0021199690484518924,-0.002681137325983276,0.0,1.0,1763.0,blue,0.005423367183651802,0.0
2020-09-10,145.0,82.0,34887.0,-0.0001870560925104611,0.009041044471338954,0.0,1.0,1763.0,blue,0.0052324383098713775,0.009252482377211583
2020-09-11,99.0,77.0,34986.0,-0.00031176015418410186,-0.002868193418493737,7.0,2.0,1770.0,blue,0.004913719551690096,0.006317639423601551
2020-09-12,108.0,93.0,35094.0,0.000997632493389126,0.0005611682775313833,0.0,2.0,1770.0,blue,0.005935161235355947,0.006892445305574648
2020-09-13,0.0,93.0,35094.0,0.0,-0.006734019330376599,0.0,2.0,1770.0,blue,0.005935161235355947,0.0
2020-09-14,163.0,80.0,35257.0,-0.0008105764008786648,0.01016338102640172,0.0,1.0,1770.0,blue,0.005106046196952967,0.01040356912629167
2020-09-15,87.0,86.0,35344.0,0.0003741121850209222,-0.004738754343598348,1.0,1.0,1771.0,blue,0.005489307976985758,0.005553137139508847
2020-09-16,97.0,100.0,35441.0,0.0008729284317154852,0.0006235203083682037,0.0,1.0,1771.0,blue,0.006383311470491547,0.0061918121263768
2020-09-17,88.0,92.0,35529.0,-0.000498816246694563,-0.0005611682775313833,3.0,2.0,1774.0,blue,0.005872987703751179,0.005617640412283737
2020-09-18,54.0,85.0,35583.0,-0.0004364642158577426,-0.0021199690484518924,10.0,2.0,1784.0,blue,0.005426351640354181,0.0034473292774014797
2020-09-19,0.0,70.0,35583.0,-0.0009352804625523056,-0.0033670096651882996,0.0,2.0,1784.0,blue,0.004468760174409325,0.0
2020-09-20,0.0,70.0,35583.0,0.0,0.0,0.0,2.0,1784.0,blue,0.004468760174409325,0.0
2020-09-21,242.0,81.0,35825.0,0.0006858723392050241,0.015089191462510532,1.0,2.0,1785.0,blue,0.005171796215905252,0.015451539311716927
2020-09-22,76.0,80.0,35901.0,-6.235203083682038e-05,-0.010350437118912181,2.0,2.0,1787.0,blue,0.005108201281009177,0.004852791216958718
2020-09-23,103.0,80.0,36004.0,0.0,0.0016835048325941498,2.0,3.0,1789.0,blue,0.005108543784051637,0.0065772501219664836
2020-09-24,108.0,83.0,36112.0,0.0001870560925104611,0.00031176015418410186,2.0,2.0,1791.0,blue,0.005300486495254469,0.006897018572138343
2020-09-25,75.0,86.0,36187.0,0.0001870560925104611,-0.0020576170176150725,8.0,2.0,1799.0,blue,0.005492361466358328,0.00478985011601017
2020-09-26,0.0,86.0,36187.0,0.0,-0.004676402312761527,0.0,2.0,1799.0,blue,0.005492361466358328,0.0
2020-09-27,0.0,86.0,36187.0,0.0,0.0,0.0,2.0,1799.0,blue,0.005492361466358328,0.0
2020-09-28,265.0,90.0,36452.0,0.0002494081233472815,0.016523288171757397,1.0,2.0,1800.0,blue,0.005748796744903532,0.01692701263777151
